rank,title,link
1,观影福利 |《侏罗纪世界：重生》7月2日全国影院上映,https://www.maoyan.comhttps://www.maoyan.com/films/news/18285351
2,《聊斋：兰若寺》预售开启7月12日上映，鲁公女篇至情至性青春浪漫,https://www.maoyan.comhttps://www.maoyan.com/films/news/18285348
3,电影《恶意》北京首映礼口碑炸裂“剥洋葱”式悬疑大片获群星盛赞,https://www.maoyan.comhttps://www.maoyan.com/films/news/18365311
4,电影《红嫁衣：纸新娘》 中式民俗恐怖巅峰之作,https://www.maoyan.comhttps://www.maoyan.com/films/news/18355183
5,电影《长安的荔枝》预售开启并发布岭南“荔”险记版预告,https://www.maoyan.comhttps://www.maoyan.com/films/news/18320414
6,电影《戏台》陈佩斯“笑泪皆真” 初代喜剧顶流不忘初心,https://www.maoyan.comhttps://www.maoyan.com/films/news/18195591
7,第三届北京网络视听艺术大会议程公布 “创作者之夜”重磅来袭,https://www.maoyan.comhttps://www.maoyan.com/films/news/18355173
8,电影《八戒之天蓬下界》终极预告海报发布，7月11日爆燃上映,https://www.maoyan.comhttps://www.maoyan.com/films/news/18300319
9,电影《奇遇》曝“我穿越了喔”版预告，贾冰灵魂穿越18岁狂掀笑浪,https://www.maoyan.comhttps://www.maoyan.com/films/news/18320409
10,电影《册杀》终极预告释出！牛骏峰尚语贤密室破局陷生死迷网,https://www.maoyan.comhttps://www.maoyan.com/films/news/18295339
